,Length,Width,Height,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
0,8.88,2.93,1.85,0.00164,5.41e-06,Steel,0,0,0
1,3.42,8.45,2.7,0.2521618286717396,0.005298798986589646,Timber,0,0,0
2,3.78,8.66,2.69,0.2822683200581487,0.0066396170423707905,Timber,0,0,0
3,9.38,6.14,9.2,0.26728199288525945,0.005953305310059657,Timber,0,0,0
4,9.19,1.25,7.53,0.00164,5.41e-06,Steel,0,0,0
5,2.63,2.16,6.18,0.1912968402601083,0.0030495400911251156,Timber,0,0,0
6,3.92,1.02,2.39,0.00164,5.41e-06,Steel,0,0,0
7,3.77,2.32,2.16,0.00239,1.32e-05,Steel,0,0,0
8,3.95,6.15,4.91,0.00103,1.71e-06,Steel,0,0,0
9,6.36,3.81,4.4,0.1562427518946861,0.002034316459968703,Timber,0,0,0
