,Length,Width,Height,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,5.64,5.88,2.15,0.26589155109639107,0.005891526412037062,Timber,Orkanger,63.3000,9.8468
1,1.27,1.07,4.86,0.17651348476502932,0.0025964175253245197,Timber,Storlien,63.3160,12.1018
2,9.4,9.3,7.98,0.24379455264462815,0.004952981991599531,Timber,Storlien,63.3160,12.1018
3,6.13,7.66,4.77,0.2696940579260394,0.006061240406717825,Timber,Tiller,63.3604,10.4008
4,8.78,9.51,6.95,0.00103,1.71e-06,Steel,Storlien,63.3160,12.1018
5,2.71,8.51,1.78,0.00239,1.32e-05,Steel,Tiller,63.3604,10.4008
6,4.71,7.07,3.07,0.00164,5.41e-06,Steel,Orkanger,63.3000,9.8468
7,5.55,7.77,2.34,0.00164,5.41e-06,Steel,Gjovik,60.8941,10.5001
8,7.71,8.56,9.86,0.2096207604057341,0.003661738599423182,Timber,Storlien,63.3160,12.1018
9,1.47,5.02,2.04,0.00538,8.36e-05,Steel,Gjovik,60.8941,10.5001
